,raw_entity
0,six months
1,2019
2,today
3,early March 2019
4,the next six months
5,several months
6,1837
7,1837
8,1837
9,a people ages ago
10,1999
11,1800s
12,the 1600s
13,1700
14,hundreds of years
15,1836
16,the 1850s and
17,1860s
18,"about 3,000 years ago"
19,a couple of years ago
20,1837
21,2000
22,hundreds of years
23,A few days ago
24,at least 170 years
25,1830
26,the 1500s
27,three or four years
28,1940
29,the 1870s
30,the 1880s
31,the 1940s
32,centuries
33,the 1700s
34,1670
35,2013
36,March
37,the 1970s
38,weeks
39,60 years old
40,next year
41,2008
42,1-5
43,today
44,this year
45,the â€˜30s
46,every year
47,1986
48,March
49,today
50,the year
51,March
